head_entity_id,tail_entity_id,relation
E0015792,E0044327,Head가 Tail에게 지시함. (Commands)
E0015792,E0029397,Head가 Tail에게 지시함. (Commands)
E0015792,E0045500,Head가 Tail에게 지시함. (Commands)
E0015792,E0035124,Head가 Tail에게 지시함. (Commands)
E0015792,E0032901,Head가 Tail에게 지시함. (Commands)
E0015792,E0052754,Head가 Tail에게 지시함. (Commands)
E0015792,E0007097,Head가 Tail에게 지시함. (Commands)
E0015792,E0009117,Head가 Tail에게 지시함. (Commands)
E0029397,E0015792,Head가 Tail에게 지시함. (Commands)
E0029397,E0044327,Head가 Tail을 도와줌. (Helps)
E0029397,E0045500,Head가 Tail의 가족임. (Family)
E0029397,E0052754,Head가 Tail을 도와줌. (Helps)
E0045500,E0044327,Head가 Tail에게 지시함. (Commands)
E0045500,E0035124,Head가 Tail을 도와줌. (Helps)
E0045500,E0052754,Head가 Tail을 도와줌. (Helps)
E0035124,E0015792,Head가 Tail을 도와줌. (Helps)
E0035124,E0045500,Head가 Tail을 도와줌. (Helps)
E0035124,E0032901,Head가 Tail을 도와줌. (Helps)
E0035124,E0052754,Head가 Tail을 도와줌. (Helps)
E0035124,E0007097,Head가 Tail을 도와줌. (Helps)
E0035124,E0009117,Head가 Tail을 도와줌. (Helps)
E0032901,E0045500,Head가 Tail에게 지시함. (Commands)
E0032901,E0035124,Head가 Tail을 도와줌. (Helps)
E0052754,E0045500,Head가 Tail을 도와줌. (Helps)
E0052754,E0035124,Head가 Tail을 도와줌. (Helps)
E0052754,E0032901,Head가 Tail을 도와줌. (Helps)
E0052754,E0007097,Head가 Tail을 도와줌. (Helps)
E0052754,E0009117,Head가 Tail을 도와줌. (Helps)
E0007097,E0015792,Head가 Tail에게 지시함. (Commands)
E0007097,E0029397,Head가 Tail을 도와줌. (Helps)
E0007097,E0045500,Head가 Tail에게 지시함. (Commands)
E0007097,E0035124,Head가 Tail을 도와줌. (Helps)
E0007097,E0052754,Head가 Tail을 도와줌. (Helps)
E0009117,E0045500,Head가 Tail에게 지시함. (Commands)
E0044327,E0022972,Head가 Tail에게 지시함. (Commands)
E0044327,E0032268,Head가 Tail에게 지시함. (Commands)
E0044327,E0052389,Head가 Tail에게 지시함. (Commands)
E0044327,E0012902,Head가 Tail에게 지시함. (Commands)
E0044327,E0008909,Head가 Tail에게 지시함. (Commands)
