head_entity_id,tail_entity_id,relation
E0048500,E0004385,Head가 Tail에게 보고함 (Reports to)
E0048500,E0051007,Head가 Tail에게 지시함. (Commands)
E0048500,E0051208,Head가 Tail에게 지시함. (Commands)
E0048500,E0050093,Head가 Tail에게 지시함. (Commands)
E0048500,E0046047,Head가 Tail에게 지시함. (Commands)
E0048500,E0009312,Head가 Tail에게 지시함. (Commands)
E0004385,E0048500,Head가 Tail에게 보고함 (Reports to)
E0004385,E0051007,Head가 Tail에게 지시함. (Commands)
E0004385,E0051208,Head가 Tail에게 지시함. (Commands)
E0004385,E0051208,Head가 Tail에게 보고함 (Reports to)
E0004385,E0050093,Head가 Tail에게 지시함. (Commands)
E0004385,E0050093,Head가 Tail에게 보고함 (Reports to)
E0004385,E0046047,Head가 Tail에게 지시함. (Commands)
E0004385,E0046047,Head가 Tail에게 보고함 (Reports to)
E0004385,E0009312,Head가 Tail에게 지시함. (Commands)
E0004385,E0009312,Head가 Tail에게 보고함 (Reports to)
E0051007,E0048500,Head가 Tail에게 지시함. (Commands)
E0051007,E0004385,Head가 Tail에게 보고함 (Reports to)
E0051007,E0051208,Head가 Tail에게 지시함. (Commands)
E0051007,E0050093,Head가 Tail에게 지시함. (Commands)
E0051007,E0046047,Head가 Tail에게 지시함. (Commands)
E0051007,E0009312,Head가 Tail에게 지시함. (Commands)
E0051208,E0048500,Head가 Tail에게 지시함. (Commands)
E0051208,E0004385,Head가 Tail에게 보고함 (Reports to)
E0051208,E0051007,Head가 Tail에게 지시함. (Commands)
E0051208,E0050093,Head가 Tail에게 지시함. (Commands)
E0051208,E0046047,Head가 Tail에게 지시함. (Commands)
E0051208,E0009312,Head가 Tail에게 지시함. (Commands)
E0050093,E0048500,Head가 Tail에게 지시함. (Commands)
E0050093,E0004385,Head가 Tail에게 보고함 (Reports to)
E0050093,E0051007,Head가 Tail에게 지시함. (Commands)
E0050093,E0051208,Head가 Tail에게 지시함. (Commands)
E0050093,E0046047,Head가 Tail에게 지시함. (Commands)
E0050093,E0009312,Head가 Tail에게 지시함. (Commands)
E0046047,E0048500,Head가 Tail에게 지시함. (Commands)
E0046047,E0004385,Head가 Tail에게 보고함 (Reports to)
E0046047,E0051007,Head가 Tail에게 지시함. (Commands)
E0046047,E0051208,Head가 Tail에게 지시함. (Commands)
E0046047,E0050093,Head가 Tail에게 지시함. (Commands)
E0046047,E0009312,Head가 Tail에게 지시함. (Commands)
E0009312,E0048500,Head가 Tail에게 지시함. (Commands)
E0009312,E0004385,Head가 Tail에게 보고함 (Reports to)
E0009312,E0051007,Head가 Tail에게 지시함. (Commands)
E0009312,E0051208,Head가 Tail에게 지시함. (Commands)
E0009312,E0050093,Head가 Tail에게 지시함. (Commands)
E0009312,E0046047,Head가 Tail에게 지시함. (Commands)
E0004385,E0051208,Head가 Tail에게 지시함. (Commands)
E0004385,E0021844,Head가 Tail에게 지시함. (Commands)
E0004385,E0012086,Head가 Tail에게 지시함. (Commands)
E0004385,E0038240,Head가 Tail에게 지시함. (Commands)
E0004385,E0010259,Head가 Tail에게 지시함. (Commands)
E0004385,E0051546,Head가 Tail에게 지시함. (Commands)
E0004385,E0012125,Head가 Tail에게 지시함. (Commands)
E0004385,E0044312,Head가 Tail에게 지시함. (Commands)
E0004385,E0021326,Head가 Tail에게 지시함. (Commands)
E0004385,E0063996,Head가 Tail에게 지시함. (Commands)
E0004385,E0052410,Head가 Tail에게 지시함. (Commands)
E0004385,E0059033,Head가 Tail에게 지시함. (Commands)
E0004385,E0051775,Head가 Tail에게 지시함. (Commands)
E0004385,E0041712,Head가 Tail에게 지시함. (Commands)
E0004385,E0050628,Head가 Tail에게 지시함. (Commands)
E0004385,E0051045,Head가 Tail에게 지시함. (Commands)
E0004385,E0038301,Head가 Tail에게 지시함. (Commands)
E0004385,E0048364,Head가 Tail에게 지시함. (Commands)
E0004385,E0044355,Head가 Tail에게 지시함. (Commands)
E0004385,E0052392,Head가 Tail에게 지시함. (Commands)
E0004385,E0051772,Head가 Tail에게 지시함. (Commands)
E0004385,E0034498,Head가 Tail에게 지시함. (Commands)
E0004385,E0008672,Head가 Tail에게 지시함. (Commands)
E0004385,E0048809,Head가 Tail에게 지시함. (Commands)
E0004385,E0021961,Head가 Tail에게 지시함. (Commands)
E0004385,E0033977,Head가 Tail에게 지시함. (Commands)
E0004385,E0052389,Head가 Tail에게 지시함. (Commands)
E0004385,E0061699,Head가 Tail에게 지시함. (Commands)
E0004385,E0009053,Head가 Tail에게 지시함. (Commands)
E0004385,E0065060,Head가 Tail에게 지시함. (Commands)
E0004385,E0042691,Head가 Tail에게 지시함. (Commands)
E0004385,E0048504,Head가 Tail에게 지시함. (Commands)
E0004385,E0020184,Head가 Tail에게 지시함. (Commands)
E0004385,E0052623,Head가 Tail에게 지시함. (Commands)
E0004385,E0003821,Head가 Tail에게 지시함. (Commands)
E0004385,E0062145,Head가 Tail에게 지시함. (Commands)
E0004385,E0020067,Head가 Tail에게 지시함. (Commands)
E0004385,E0046090,Head가 Tail에게 지시함. (Commands)
E0004385,E0059861,Head가 Tail에게 지시함. (Commands)
E0004385,E0004295,Head가 Tail에게 지시함. (Commands)
E0004385,E0046223,Head가 Tail에게 지시함. (Commands)
E0004385,E0032783,Head가 Tail에게 지시함. (Commands)
E0051208,E0004385,Head가 Tail에게 지시함. (Commands)
E0051208,E0021844,Head가 Tail에게 지시함. (Commands)
E0051208,E0012086,Head가 Tail에게 지시함. (Commands)
E0051208,E0052525,Head가 Tail에게 지시함. (Commands)
E0051208,E0038240,Head가 Tail에게 지시함. (Commands)
E0051208,E0010259,Head가 Tail에게 지시함. (Commands)
E0051208,E0051546,Head가 Tail에게 지시함. (Commands)
E0051208,E0012125,Head가 Tail에게 지시함. (Commands)
E0051208,E0044312,Head가 Tail에게 지시함. (Commands)
E0051208,E0021326,Head가 Tail에게 지시함. (Commands)
E0051208,E0063996,Head가 Tail에게 지시함. (Commands)
E0051208,E0052410,Head가 Tail에게 지시함. (Commands)
E0051208,E0059033,Head가 Tail에게 지시함. (Commands)
E0051208,E0051775,Head가 Tail에게 지시함. (Commands)
E0051208,E0041712,Head가 Tail에게 지시함. (Commands)
E0051208,E0050628,Head가 Tail에게 지시함. (Commands)
E0051208,E0051045,Head가 Tail에게 지시함. (Commands)
E0051208,E0038301,Head가 Tail에게 지시함. (Commands)
E0051208,E0048364,Head가 Tail에게 지시함. (Commands)
E0051208,E0044355,Head가 Tail에게 지시함. (Commands)
E0051208,E0052392,Head가 Tail에게 지시함. (Commands)
E0051208,E0051772,Head가 Tail에게 지시함. (Commands)
E0051208,E0034498,Head가 Tail에게 지시함. (Commands)
E0051208,E0008672,Head가 Tail에게 지시함. (Commands)
E0051208,E0048809,Head가 Tail에게 지시함. (Commands)
E0051208,E0021961,Head가 Tail에게 지시함. (Commands)
E0051208,E0033977,Head가 Tail에게 지시함. (Commands)
E0051208,E0052389,Head가 Tail에게 지시함. (Commands)
E0051208,E0061699,Head가 Tail에게 지시함. (Commands)
E0051208,E0009053,Head가 Tail에게 지시함. (Commands)
E0051208,E0065060,Head가 Tail에게 지시함. (Commands)
E0051208,E0042691,Head가 Tail에게 지시함. (Commands)
E0051208,E0048504,Head가 Tail에게 지시함. (Commands)
E0051208,E0020184,Head가 Tail에게 지시함. (Commands)
E0051208,E0052623,Head가 Tail에게 지시함. (Commands)
E0051208,E0003821,Head가 Tail에게 지시함. (Commands)
E0051208,E0062145,Head가 Tail에게 지시함. (Commands)
E0051208,E0020067,Head가 Tail에게 지시함. (Commands)
E0051208,E0046090,Head가 Tail에게 지시함. (Commands)
E0051208,E0059861,Head가 Tail에게 지시함. (Commands)
E0051208,E0004295,Head가 Tail에게 지시함. (Commands)
E0051208,E0046223,Head가 Tail에게 지시함. (Commands)
E0051208,E0032783,Head가 Tail에게 지시함. (Commands)
E0051208,E0046589,Head가 Tail에게 지시함. (Commands)
E0021844,E0004385,Head가 Tail에게 지시함. (Commands)
E0021844,E0051208,Head가 Tail에게 지시함. (Commands)
E0021844,E0012086,Head가 Tail에게 지시함. (Commands)
E0021844,E0052525,Head가 Tail에게 지시함. (Commands)
E0021844,E0038240,Head가 Tail에게 지시함. (Commands)
E0021844,E0010259,Head가 Tail에게 지시함. (Commands)
